Marka,Model,Buraxlis ili,Reng,Yanacaq novu,Muherrik hecmi,Suretler_qutusu,Yurus,Qiymet
Ford,Transit,2003,Ağ,Dizel,2.4 L,Mexaniki,152 412 km,18 900 AZN
LADA (VAZ),2112,2007,Qara,Benzin,1.6 L,Mexaniki,314 210 km,8 000 AZN
BMW,528,2012,Ağ,Benzin,2.0 L,Avtomat,121 200 km,28 800 AZN
Hyundai,Tucson,2009,Qızılı,Dizel,2.0 L,Avtomat,92 000 km,17 400 AZN
Mercedes,C 200,1995,Boz,Benzin,2.0 L,Mexaniki,500 000 km,7 900 AZN
Kia,Koup,2011,Qara,Benzin,2.0 L,Avtomat,115 000 km,16 700 AZN
Hyundai,Genesis Coupe,2013,Boz,Benzin,3.8 L,Avtomat,97 900 km,25 500 AZN
Hyundai,i30,2008,Qara,Benzin,2.0 L,Avtomat,147 000 km,16 700 AZN
Hyundai,Elantra,2011,Ağ,Benzin,1.8 L,Avtomat,48 000 km,21 800 AZN
LADA (VAZ),2106,1990,Ağ,Benzin,1.5 L,Mexaniki,75 000 km,3 900 AZN
LADA (VAZ),Niva,2007,Qara,Benzin,1.7 L,Mexaniki,150 000 km,6 800 AZN
LADA (VAZ),2107,2011,Qara,Benzin,1.6 L,Mexaniki,123 456 km,7 300 AZN
Mercedes,E 230,1996,Qara,Benzin,2.3 L,Avtomat,169 956 km,9 500 AZN
LADA (VAZ),2115,2004,Göy,Benzin,1.5 L,Mexaniki,301 780 km,6 400 AZN
Mercedes,C 250,1999,Qara,Dizel,2.5 L,Avtomat,416 823 km,13 800 AZN
LADA (VAZ),2107,2009,Ağ,Benzin,1.5 L,Mexaniki,150 000 km,8 000 AZN
BMW,528,2011,Ağ,Benzin,2.0 L,Avtomat,130 000 km,18 500 $
Ford,Focus,2014,Ağ,Benzin,1.6 L,Robotlaşdırılmış,149 900 km,14 200 AZN
Mercedes,190,1991,Gümüşü,Dizel,2.0 L,Avtomat,550 000 km,7 600 AZN
Opel,Astra,2013,Yaş Asfalt,Benzin,1.4 L,Avtomat,166 000 km,14 800 AZN
Volkswagen,Passat,2004,Gümüşü,Benzin,1.8 L,Avtomat,244 100 km,6 800 AZN
GAZ,2705,1998,Yaşıl,Benzin,2.4 L,Mexaniki,245 576 km,4 500 AZN
LADA (VAZ),2112,2007,Qara,Benzin,1.6 L,Mexaniki,314 210 km,8 000 AZN
Kia,Cerato,2011,Qara,Benzin,1.6 L,Avtomat,195 000 km,16 500 AZN
Bentley,Flying Spur,2014,Ağ,Benzin,4.0 L,Avtomat,22 000 km,122 500 $
LADA (VAZ),2106,1985,Yaşıl,Benzin,1.6 L,Mexaniki,303 000 km,1 400 AZN
Chevrolet,Cruze,2014,Ağ,Benzin,1.4 L,Avtomat,194 574 km,16 000 AZN
Hyundai,i30,2008,Qara,Benzin,2.0 L,Avtomat,147 000 km,16 700 AZN
Kia,Optima,2014,Qara,Benzin,2.0 L,Avtomat,168 000 km,22 000 AZN
Mercedes,G 63 AMG,2015,Qara,Benzin,5.5 L,Avtomat,93 500 km,98 500 $
Ford,Mustang,2015,Yaş Asfalt,Benzin,2.3 L,Avtomat,119 000 km,25 500 $
Land Rover,Range Rover,2010,Qara,Benzin,5.0 L,Avtomat,134 000 km,37 800 $
Mercedes,C 200,1999,Göy,Benzin,2.0 L,Avtomat,265 000 km,11 500 AZN
BMW,528,2015,Qara,Benzin,2.0 L,Avtomat,76 500 km,32 500 $
Infiniti,G35x,2008,Qara,Benzin,3.5 L,Avtomat,215 000 km,18 000 AZN
LADA (VAZ),Niva,2007,Qara,Benzin,1.7 L,Mexaniki,150 000 km,6 800 AZN
LADA (VAZ),2115,2004,Göy,Benzin,1.5 L,Mexaniki,301 780 km,6 400 AZN
Mercedes,GL 500,2011,Qara,Benzin,4.7 L,Avtomat,118 000 km,36 500 $
LADA (VAZ),2109,1989,Ağ,Benzin,1.6 L,Mexaniki,125 214 km,2 900 AZN
Mercedes,190,1993,Boz,Benzin,2.0 L,Avtomat,244 000 km,7 000 AZN
Volkswagen,Jetta,2016,Tünd qırmızı,Benzin,1.4 L,Avtomat,48 000 km,16 700 AZN
Chevrolet,Aveo,2012,Ağ,Benzin,1.4 L,Mexaniki,200 000 km,6 700 AZN
LADA (VAZ),2108,1999,Bənövşəyi,Benzin,1.5 L,Mexaniki,150 000 km,8 000 AZN
Volkswagen,Passat,2015,Qızılı,Benzin,1.8 L,Avtomat,67 000 km,21 000 AZN
Kia,Cerato,2013,Ağ,Benzin,1.6 L,Avtomat,202 000 km,21 800 AZN
Opel,Omega,1999,Gümüşü,Benzin,2.0 L,Mexaniki,256 380 km,3 500 AZN
