Marka,Model,Buraxlis ili,Reng,Yanacaq novu,Muherrik hecmi,Suretler_qutusu,Yurus,Qiymet
BMW,525,1999,Qara,Benzin,2.5 L,Avtomat,250 000 km,9 900 AZN
LADA (VAZ),2115,2011,Yaşıl,Benzin,1.6 L,Mexaniki,192 897 km,9 000 AZN
Mercedes,E 250,1993,Gümüşü,Dizel,2.5 L,Mexaniki,360 000 km,8 500 AZN
Toyota,Prado,2012,Ağ,Benzin,2.7 L,Avtomat,171 100 km,44 000 AZN
Mercedes,S 400,2015,Qara,Benzin,3.0 L,Avtomat,49 000 km,79 000 $
Kia,Optima,2015,Yaş Asfalt,Benzin,2.0 L,Avtomat,88 595 km,26 500 AZN
Dodge,Durango,2013,Qara,Benzin,3.6 L,Avtomat,175 000 km,25 500 $
PAZ,32054,2004,Sarı,Dizel,3.5 L,Mexaniki,180 000 km,13 000 AZN
LADA (VAZ),2107,1995,Qırmızı,Benzin,1.5 L,Mexaniki,350 000 km,3 800 AZN
BMW,X5,2018,Gümüşü,Benzin,3.0 L,Avtomat,19 000 km,58 000 $
Hyundai,Elantra,2012,Gümüşü,Benzin,1.8 L,Avtomat,139 000 km,19 000 AZN
Lexus,LX 570,2013,Ağ,Benzin,5.7 L,Avtomat,84 000 km,60 500 $
Kia,Cerato,2015,Ağ,Benzin,1.6 L,Avtomat,97 000 km,23 300 AZN
Toyota,Land Cruiser,2018,Ağ,Benzin,4.0 L,Avtomat,3 734 km,70 000 $
Hyundai,ix35,2012,Ağ,Dizel,2.0 L,Avtomat,117 000 km,24 000 AZN
BMW,320,2014,Qara,Benzin,2.0 L,Avtomat,140 000 km,21 500 $
LADA (VAZ),2107,2006,Ağ,Benzin,1.6 L,Mexaniki,89 898 km,6 000 AZN
Kia,Rio,2013,Qara,Benzin,1.4 L,Avtomat,233 000 km,10 800 AZN
Mercedes,C 240,1998,Ağ,Benzin,2.4 L,Avtomat,214 800 km,12 500 AZN
Porsche,Panamera 4S,2014,Qara,Benzin,3.0 L,Avtomat,28 000 km,58 000 $
LADA (VAZ),Niva,2014,Göy,Benzin,1.7 L,Mexaniki,120 000 km,11 500 AZN
BMW,528,2016,Ağ,Benzin,2.0 L,Avtomat,61 000 km,28 800 $
Volvo,850,1996,Mavi,Benzin,2.5 L,Mexaniki,267 000 km,4 300 AZN
LADA (VAZ),Niva,2013,Ağ,Benzin,1.7 L,Mexaniki,142 000 km,8 700 AZN
Ford,Focus,2000,Tünd qırmızı,Benzin,2.0 L,Avtomat,151 955 km,6 000 AZN
LADA (VAZ),21013,1984,Bej,Benzin,1.5 L,Mexaniki,258 466 km,3 100 AZN
Mitsubishi,L 200,2013,Qara,Dizel,2.5 L,Avtomat,170 000 km,26 000 $
Toyota,Prius,2007,Gümüşü,Hibrid,1.5 L,Avtomat,190 000 km,11 900 AZN
BMW,528,1996,Boz,Benzin,2.8 L,Avtomat,317 760 km,9 800 AZN
LADA (VAZ),2103,1979,Göy,Benzin,1.3 L,Mexaniki,150 000 km,3 600 AZN
BMW,530,2017,Boz,Benzin,2.0 L,Avtomat,48 000 km,41 000 $
Volkswagen,Jetta,2015,Tünd qırmızı,Benzin,1.4 L,Avtomat,105 000 km,15 400 AZN
Mercedes,C 250,2013,Yaş Asfalt,Benzin,1.8 L,Avtomat,103 000 km,16 900 $
Mercedes,C 230,1999,Qızılı,Benzin,2.3 L,Avtomat,213 000 km,10 900 AZN
Nissan,Pathfinder,2005,Yaş Asfalt,Dizel,2.5 L,Avtomat,223 000 km,21 000 AZN
Opel,Astra,2008,Boz,Dizel,1.3 L,Mexaniki,140 000 km,11 500 AZN
Mazda,3,2015,Ağ,Benzin,2.0 L,Avtomat,81 000 km,27 000 AZN
Lincoln,Navigator,2019,Qara,Benzin,3.5 L,Avtomat,3 000 km,200 000 $
LADA (VAZ),2115,2012,Ağ,Benzin,1.5 L,Mexaniki,277 000 km,8 800 AZN
Toyota,Prius,2008,Mavi,Hibrid,1.5 L,Avtomat,167 662 km,12 700 AZN
Ford,Transit,1999,Sarı,Dizel,2.5 L,Mexaniki,232 000 km,14 000 AZN
LADA (VAZ),2106,1989,Qırmızı,Benzin,1.6 L,Mexaniki,275 895 km,3 700 AZN
Mercedes,C 200,1997,Boz,Benzin,2.0 L,Avtomat,370 000 km,11 500 AZN
Mitsubishi,Pajero,2008,Qara,Benzin,3.0 L,Avtomat,195 000 km,22 000 AZN
Kia,Sorento,2014,Qara,Benzin,2.4 L,Avtomat,88 700 km,35 300 AZN
Hyundai,Sonata,2010,Ağ,Benzin,2.4 L,Avtomat,128 000 km,18 000 AZN
Opel,Vectra,1996,Gümüşü,Benzin,1.8 L,Avtomat,415 000 km,5 800 AZN
LADA (VAZ),2107,2010,Ağ,Benzin,1.6 L,Mexaniki,110 000 km,6 850 AZN
Volkswagen,Passat,1998,Gümüşü,Benzin,1.8 L,Avtomat,356 000 km,5 900 AZN
Chevrolet,Lacetti,2008,Ağ,Benzin,1.8 L,Avtomat,155 000 km,11 800 AZN
Opel,Astra,2006,Qara,Dizel,1.3 L,Mexaniki,195 000 km,10 600 AZN
Hyundai,Sonata,2013,Qara,Benzin,2.0 L,Avtomat,101 000 km,23 000 AZN
Volkswagen,Passat CC,2013,Ağ,Benzin,2.0 L,Avtomat,187 000 km,23 600 AZN
Mercedes,V 250,2015,Qara,Dizel,2.5 L,Avtomat,174 000 km,31 800 $
BMW,528,2015,Qara,Benzin,2.0 L,Avtomat,44 000 km,27 500 $
Opel,Vita,1998,Bənövşəyi,Benzin,1.4 L,Avtomat,286 000 km,6 500 AZN
Ford,Fusion,2015,Qara,Benzin,1.5 L,Avtomat,115 000 km,20 500 AZN
Toyota,Prado,2012,Ağ,Benzin,2.7 L,Avtomat,148 000 km,26 000 $
BMW,X5,2006,Ağ,Benzin,4.8 L,Avtomat,157 000 km,32 800 AZN
Chevrolet,Cruze,2013,Qara,Benzin,1.4 L,Avtomat,90 000 km,13 700 AZN
Kia,Optima,2013,Ağ,Benzin,2.0 L,Avtomat,135 000 km,23 500 AZN
Toyota,Prado,2013,Qara,Benzin,2.7 L,Avtomat,171 000 km,27 800 $
Chevrolet,Malibu,2016,Qara,Benzin,1.5 L,Avtomat,160 000 km,21 000 AZN
Land Rover,Discovery,2013,Ağ,Benzin,5.0 L,Avtomat,82 000 km,38 800 $
Hyundai,Elantra,2014,Göy,Benzin,1.8 L,Avtomat,107 000 km,20 900 AZN
BMW,X6,2008,Qara,Benzin,3.0 L,Avtomat,157 000 km,21 500 $
Hyundai,Getz,2009,Qara,Benzin,1.4 L,Avtomat,129 000 km,10 800 AZN
Mercedes,C 180,1995,Gümüşü,Benzin,1.8 L,Avtomat,269 000 km,6 000 AZN
Mitsubishi,L 200,2017,Ağ,Dizel,2.5 L,Mexaniki,30 000 km,44 500 AZN
Kia,Sportage,2012,Qara,Benzin,2.0 L,Avtomat,165 000 km,24 500 AZN
Opel,Vectra,1997,Tünd qırmızı,Benzin,1.8 L,Mexaniki,145 000 km,5 600 AZN
Daewoo,Nexia,2007,Gümüşü,Benzin,1.6 L,Mexaniki,210 774 km,12 000 AZN
Kia,Cerato,2019,Yaş Asfalt,Benzin,2.0 L,Avtomat,41 000 km,23 500 $
Land Rover,Discovery,2014,Boz,Benzin,3.0 L,Avtomat,70 000 km,41 000 $
Kia,Optima,2012,Ağ,Benzin,2.4 L,Avtomat,102 000 km,23 800 AZN
Hyundai,Elantra,2014,Ağ,Benzin,1.8 L,Avtomat,74 000 km,21 900 AZN
Baic,M 20,2017,Ağ,Benzin,1.5 L,Mexaniki,204 000 km,13 300 AZN
Mercedes,C 230,1999,Qara,Benzin,2.3 L,Avtomat,198 272 km,11 300 AZN
Mercedes,Vito,1997,Qara,Benzin,2.3 L,Mexaniki,207 273 km,8 800 AZN
Mercedes,GL 450,2007,Qara,Benzin,4.7 L,Avtomat,139 000 km,23 000 $
Mercedes,S 350,2011,Qara,Benzin,3.5 L,Avtomat,146 000 km,26 700 $
Renault,Grand Scenic,2009,Qara,Dizel,1.5 L,Mexaniki,208 045 km,15 500 AZN
Porsche,Panamera GTS,2012,Qara,Benzin,4.8 L,Avtomat,90 000 km,39 500 $
Opel,Astra,2007,Qara,Dizel,1.3 L,Mexaniki,243 073 km,10 850 AZN
Mercedes,E 200,1998,Bənövşəyi,Benzin,2.0 L,Avtomat,400 000 km,10 000 AZN
Opel,Astra,2008,Gümüşü,Dizel,1.7 L,Mexaniki,216 000 km,12 900 AZN
Hyundai,i30,2008,Gümüşü,Dizel,1.6 L,Avtomat,70 000 km,16 250 AZN
Ford,Fusion,2017,Ağ,Benzin,1.5 L,Avtomat,63 000 km,25 500 AZN
Chevrolet,Cruze,2015,Ağ,Benzin,1.4 L,Avtomat,70 000 km,15 900 AZN
LADA (VAZ),Niva,2015,Ağ,Benzin,1.7 L,Mexaniki,60 000 km,13 500 AZN
Toyota,Corolla,2005,Boz,Dizel,1.4 L,Robotlaşdırılmış,242 000 km,12 500 AZN
Land Rover,Discovery,2009,Qara,Dizel,2.7 L,Avtomat,238 000 km,20 800 $
Mercedes,190,1992,Qara,Benzin,2.0 L,Mexaniki,523 698 km,4 800 AZN
Hyundai,Accent,2010,Qara,Benzin,1.4 L,Avtomat,170 300 km,12 500 AZN
Ford,Transit,2008,Ağ,Dizel,2.5 L,Mexaniki,421 000 km,20 500 AZN
Mercedes,ML 320,1999,Gümüşü,Benzin,3.2 L,Avtomat,293 103 km,8 900 AZN
Chevrolet,Camaro,2019,Qara,Benzin,2.0 L,Avtomat,9 000 km,33 500 $
Mitsubishi,L 200,2008,Qara,Dizel,2.5 L,Avtomat,360 000 km,21 000 AZN
Toyota,Land Cruiser,2012,Ağ,Benzin,4.0 L,Avtomat,104 000 km,32 800 $
Mercedes,E 220,2007,Qara,Dizel,2.2 L,Avtomat,200 100 km,20 200 AZN
Mitsubishi,L 200,2020,Ağ,Dizel,2.5 L,Mexaniki,0 km,27 500 $
Hyundai,Sonata,2009,Ağ,Benzin,2.0 L,Avtomat,116 000 km,19 900 AZN
LADA (VAZ),2107,2006,Ağ,Benzin,1.5 L,Mexaniki,521 346 km,6 500 AZN
Toyota,Avalon,2020,Qara,Benzin,3.5 L,Avtomat,0 km,74 900 $
Opel,Astra,1999,Gümüşü,Benzin,1.6 L,Avtomat,2 561 890 km,6 900 AZN
Mazda,CX-5,2013,Qara,Benzin,2.5 L,Avtomat,152 000 km,17 400 $
Mercedes,E 320,1999,Göy,Benzin,3.2 L,Avtomat,431 022 km,11 500 AZN
Mercedes,E 250,2010,Qara,Benzin,1.8 L,Avtomat,153 000 km,21 500 $
Toyota,Prius V,2012,Gümüşü,Hibrid,1.8 L,Avtomat,178 000 km,21 500 AZN
Mercedes,C 240,2002,Gümüşü,Benzin,2.6 L,Avtomat,243 800 km,12 900 AZN
Daewoo,Gentra,2013,Qara,Benzin,1.5 L,Mexaniki,200 000 km,11 200 AZN
Hyundai,Azera,2013,Ağ,Benzin,2.4 L,Avtomat,100 000 km,30 000 AZN
Toyota,Land Cruiser,2019,Qara,Benzin,4.0 L,Avtomat,2 600 km,74 500 $
Hyundai,i30,2009,Qara,Dizel,1.6 L,Mexaniki,241 000 km,13 300 AZN
Toyota,Camry,2020,Qara,Benzin,2.5 L,Avtomat,0 km,35 500 $
LADA (VAZ),Priora,2012,Qara,Benzin,1.6 L,Mexaniki,212 000 km,10 000 AZN
Hyundai,Elantra,2017,Qara,Benzin,2.0 L,Avtomat,14 500 km,26 500 AZN
Toyota,Prado,2008,Qara,Benzin,2.7 L,Avtomat,156 800 km,28 200 AZN
Mitsubishi,Pajero io,1998,Göy,Benzin,1.8 L,Avtomat,255 000 km,10 300 AZN
Mercedes,ML 350,2007,Ağ,Benzin,3.5 L,Avtomat,190 000 km,23 400 AZN
BMW,X5,2004,Qara,Benzin,4.8 L,Avtomat,276 000 km,26 500 AZN
BMW,535 GT,2012,Ağ,Benzin,3.0 L,Avtomat,91 000 km,32 000 $
Mercedes,C 200,1998,Qara,Benzin,2.0 L,Avtomat,236 000 km,10 900 AZN
Toyota,Land Cruiser,2012,Ağ,Benzin,4.0 L,Avtomat,104 000 km,32 800 $
Land Rover,Range Rover,2014,Boz,Benzin,3.0 L,Avtomat,88 000 km,68 900 $
Mercedes,B 170,2010,Gümüşü,Benzin,1.7 L,Avtomat,47 000 km,14 300 AZN
Daewoo,Racer,1994,Ağ,Benzin,1.5 L,Avtomat,350 000 km,2 900 AZN
Mercedes,E 220,2008,Gümüşü,Dizel,2.2 L,Avtomat,219 300 km,25 900 AZN
Opel,Astra,2008,Qara,Benzin,1.4 L,Mexaniki,171 000 km,11 500 AZN
Hyundai,Elantra,2014,Ağ,Benzin,1.8 L,Avtomat,122 000 km,22 900 AZN
Daewoo,Gentra,2013,Qara,Benzin,1.5 L,Mexaniki,200 000 km,11 200 AZN
Ford,Fusion,2016,Yaş Asfalt,Benzin,1.5 L,Avtomat,98 123 km,19 500 AZN
Mercedes,Vito,2012,Qara,Dizel,2.2 L,Avtomat,237 000 km,45 000 AZN
Lexus,GS 300,2006,Qara,Benzin,3.0 L,Avtomat,220 101 km,18 700 AZN
Kia,Sorento,2006,Qara,Dizel,2.5 L,Avtomat,234 000 km,17 500 AZN
Volkswagen,Passat,2013,Ağ,Benzin,1.8 L,Avtomat,82 000 km,23 900 AZN
Hyundai,i30,2009,Qara,Dizel,1.6 L,Mexaniki,241 000 km,13 300 AZN
Mercedes,E 280,1999,Göy,Benzin,2.8 L,Avtomat,384 000 km,12 000 AZN
Hyundai,Elantra,2013,Qara,Benzin,1.8 L,Avtomat,153 500 km,18 200 AZN
Renault,Megane,2007,Gümüşü,Dizel,1.5 L,Mexaniki,285 000 km,9 900 AZN
Ford,Focus,2014,Qara,Benzin,1.6 L,Robotlaşdırılmış,84 250 km,16 700 AZN
Ford,Mondeo,2005,Ağ,Benzin,2.0 L,Avtomat,200 000 km,8 500 AZN
Hyundai,Grandeur,2013,Ağ,Benzin,3.0 L,Avtomat,98 000 km,33 800 AZN
Mercedes,E 220,1996,Göy,Dizel,2.2 L,Avtomat,642 000 km,10 700 AZN
Opel,Astra,2009,Göy,Benzin,1.4 L,Mexaniki,174 500 km,11 300 AZN
Nissan,Sunny,2012,Qara,Benzin,1.5 L,Avtomat,121 000 km,14 600 AZN
BMW,328,2013,Boz,Benzin,2.0 L,Avtomat,177 000 km,21 000 $
LADA (VAZ),Granta,2013,Ağ,Benzin,1.6 L,Mexaniki,209 000 km,9 400 AZN
Hyundai,Sonata,2012,Boz,Benzin,2.4 L,Avtomat,95 000 km,19 900 AZN
Hyundai,Sonata,2014,Göy,Benzin,2.0 L,Avtomat,70 000 km,17 500 $
Kia,Optima,2014,Qara,Benzin,2.4 L,Avtomat,123 500 km,29 500 AZN
LADA (VAZ),21099,2003,Gümüşü,Benzin,1.5 L,Mexaniki,224 000 km,5 700 AZN
Volkswagen,Jetta,2010,Ağ,Dizel,2.0 L,Avtomat,306 000 km,14 000 AZN
Opel,Astra,2007,Göy,Dizel,1.3 L,Mexaniki,176 456 km,10 900 AZN
Mercedes,190,1991,Gümüşü,Benzin,2.0 L,Avtomat,560 000 km,6 200 AZN
Kia,Cerato,2013,Ağ,Benzin,1.6 L,Avtomat,76 000 km,21 600 AZN
Audi,TT,1999,Göy,Benzin,1.8 L,Mexaniki,106 200 km,9 500 AZN
LADA (VAZ),2107,2008,Ağ,Benzin,1.6 L,Mexaniki,158 000 km,8 000 AZN
Opel,Zafira,1999,Gümüşü,Benzin,1.8 L,Mexaniki,324 512 km,8 500 AZN
LADA (VAZ),2106,1991,Ağ,Benzin,1.3 L,Mexaniki,71 565 km,4 800 AZN
Mercedes,C 180,1997,Göy,Benzin,1.8 L,Avtomat,279 897 km,10 900 AZN
Mercedes,A 170,2007,Qara,Benzin,1.7 L,Avtomat,104 090 km,10 500 AZN
Mercedes,E 200,2008,Qara,Dizel,2.2 L,Avtomat,200 000 km,20 000 AZN
Toyota,Prado,2013,Ağ,Dizel,3.0 L,Avtomat,148 900 km,39 500 $
Daewoo,Nexia,2010,Gümüşü,Benzin,1.5 L,Avtomat,341 366 km,5 900 AZN
Kia,Optima,2016,Ağ,Benzin,1.6 L,Avtomat,26 789 km,23 900 AZN
Kia,Rio,2010,Ağ,Benzin,1.4 L,Mexaniki,237 000 km,13 000 AZN
LADA (VAZ),2109,1994,Qırmızı,Benzin,1.6 L,Mexaniki,180 000 km,3 600 AZN
LADA (VAZ),21011,1980,Qırmızı,Benzin,1.6 L,Mexaniki,84 560 km,1 200 AZN
Kia,Optima,2012,Qara,Benzin,2.0 L,Avtomat,120 000 km,19 500 AZN
Hyundai,Tucson,2016,Qəhvəyi,Benzin,1.6 L,Avtomat,73 000 km,18 700 $
Mercedes,190,1991,Yaş Asfalt,Benzin,2.0 L,Avtomat,359 612 km,4 300 AZN
Volkswagen,Passat,2005,Yaş Asfalt,Benzin,2.0 L,Avtomat,220 000 km,9 500 AZN
LADA (VAZ),Niva,2014,Qırmızı,Benzin,1.7 L,Mexaniki,6 900 km,14 800 AZN
Mercedes,E 320,2000,Gümüşü,Benzin,3.2 L,Avtomat,385 000 km,12 000 AZN
Rolls-Royce,Cullinan,2019,Göy,Benzin,6.5 L,Avtomat,0 km,600 000 $
Mercedes,GL 550,2010,Qara,Benzin,5.5 L,Avtomat,147 750 km,25 500 $
Scania,G 420,2001,Ağ,Dizel,10 L,Avtomat,500 000 km,35 000 AZN
Chevrolet,Cruze,2012,Qara,Benzin,1.4 L,Avtomat,122 000 km,13 200 AZN
Mercedes,C 180,1998,Qara,Benzin,1.8 L,Avtomat,310 000 km,8 800 AZN
BMW,528,2012,Qara,Benzin,2.0 L,Avtomat,125 000 km,22 800 $
Mercedes,C 200,2000,Bənövşəyi,Benzin,2.0 L,Mexaniki,310 000 km,9 600 AZN
Jeep,Grand Cherokee,2012,Qara,Benzin,3.6 L,Avtomat,144 000 km,21 600 $
LADA (VAZ),2107,2006,Qırmızı,Benzin,1.6 L,Mexaniki,46 000 km,7 800 AZN
Toyota,Prius,2009,Gümüşü,Hibrid,1.8 L,Avtomat,190 000 km,15 500 AZN
Nissan,Murano,2005,Qara,Benzin,3.5 L,Avtomat,125 000 km,11 700 AZN
Hyundai,Santa Fe,2013,Yaş Asfalt,Benzin,2.0 L,Avtomat,96 028 km,32 500 AZN
Audi,A4,2005,Yaş Asfalt,Benzin,2.0 L,Avtomat,160 000 km,12 500 AZN
Mercedes,E 280,2006,Qara,Dizel,3.0 L,Avtomat,330 000 km,19 700 AZN
Mercedes,Viano,2011,Qara,Dizel,3.0 L,Avtomat,226 900 km,25 500 $
Volkswagen,Touareg,2005,Qara,Dizel,2.5 L,Avtomat,245 000 km,15 500 AZN
Rolls-Royce,Phantom,2018,Gümüşü,Benzin,6.8 L,Avtomat,0 km,630 000 $
Chevrolet,Cruze,2014,Tünd qırmızı,Benzin,1.4 L,Avtomat,117 000 km,16 200 AZN
Mercedes,E 230,1996,Göy,Benzin,2.3 L,Avtomat,160 000 km,11 300 AZN
BMW,525,2003,Qara,Benzin,2.5 L,Avtomat,298 500 km,15 000 AZN
Mercedes,C 200,1997,Gümüşü,Benzin,2.0 L,Mexaniki,217 000 km,10 000 AZN
Land Rover,Range Rover,2019,Qara,Dizel,3.0 L,Avtomat,0 km,135 000 $
Volkswagen,Passat,2003,Yaş Asfalt,Benzin,1.8 L,Avtomat,156 980 km,6 500 AZN
Mercedes,C 220,1994,Gümüşü,Benzin,2.2 L,Avtomat,236 521 km,7 800 AZN
Hyundai,Accent,2007,Mavi,Dizel,1.5 L,Mexaniki,195 000 km,11 100 AZN
LADA (VAZ),2107,2009,Ağ,Benzin,1.6 L,Mexaniki,78 000 km,7 800 AZN
Mercedes,Vito 115,2010,Ağ,Dizel,2.2 L,Mexaniki,187 000 km,21 900 AZN
Rolls-Royce,Cullinan,2019,Göy,Benzin,6.5 L,Avtomat,0 km,600 000 $
Mercedes,C 180,1997,Yaş Asfalt,Benzin,1.8 L,Avtomat,256 758 km,12 500 AZN
LADA (VAZ),21099,1998,Göy,Benzin,1.5 L,Mexaniki,240 000 km,5 300 AZN
Mercedes,GL 550,2011,Qara,Benzin,5.5 L,Avtomat,169 000 km,23 800 $
Chevrolet,Lacetti,2011,Göy,Benzin,1.4 L,Mexaniki,190 000 km,9 900 AZN
Infiniti,FX35,2008,Qara,Benzin,3.5 L,Avtomat,215 000 km,20 900 AZN
LADA (VAZ),21011,1978,Tünd qırmızı,Benzin,1.3 L,Mexaniki,85 200 km,3 300 AZN
LADA (VAZ),Niva,2013,Ağ,Benzin,1.7 L,Mexaniki,137 720 km,10 900 AZN
Chevrolet,Cruze,2014,Ağ,Benzin,1.4 L,Avtomat,102 000 km,15 800 AZN
LADA (VAZ),2107,2012,Ağ,Benzin,1.5 L,Mexaniki,12 900 km,8 300 AZN
Chevrolet,Cruze,2010,Ağ,Benzin,1.6 L,Mexaniki,154 000 km,11 600 AZN
Mercedes,E 200,2018,Qara,Dizel,2.0 L,Avtomat,45 000 km,56 500 $
BMW,528,2010,Ağ,Benzin,3.0 L,Avtomat,229 000 km,16 700 $
Mercedes,E 250,1991,Qara,Dizel,2.5 L,Avtomat,385 000 km,6 250 AZN
LADA (VAZ),21013,1982,Mavi,Benzin,1.6 L,Mexaniki,200 000 km,4 500 AZN
Chevrolet,Cruze,2013,Ağ,Benzin,1.4 L,Avtomat,104 000 km,13 800 AZN
LADA (VAZ),2107,2010,Yaş Asfalt,Benzin,1.5 L,Mexaniki,624 645 km,5 900 AZN
Mercedes,E 220,1994,Gümüşü,Benzin,2.2 L,Avtomat,485 360 km,8 200 AZN
Hyundai,Accent,1996,Yaşıl,Benzin,1.5 L,Mexaniki,451 000 km,5 400 AZN
Kia,Rio,2008,Qara,Benzin,1.4 L,Mexaniki,212 500 km,7 500 AZN
GAZ,27527-745,2001,Boz,Benzin,2.4 L,Mexaniki,82 504 km,7 400 AZN
Mercedes,E 270,2002,Gümüşü,Dizel,2.7 L,Avtomat,254 000 km,16 500 AZN
Iran Khodro,Azsamand,2008,Qara,Benzin,1.8 L,Mexaniki,300 000 km,5 800 AZN
BMW,520,1997,Gümüşü,Benzin,2.0 L,Mexaniki,488 739 km,8 000 AZN
Toyota,Prado,2011,Ağ,Dizel,3.0 L,Avtomat,249 000 km,33 800 $
Mitsubishi,Lancer,2008,Qara,Benzin,2.0 L,Variator,200 000 km,15 700 AZN
Mercedes,E 350,2003,Ağ,Benzin,3.5 L,Avtomat,212 500 km,13 800 AZN
Mercedes,E 240,2005,Qara,Benzin,2.6 L,Avtomat,243 000 km,18 400 AZN
Mercedes,E 200,1991,Qara,Benzin,2.0 L,Mexaniki,363 500 km,4 550 AZN
Hyundai,Elantra,2014,Qara,Benzin,1.8 L,Avtomat,58 000 km,20 500 AZN
LADA (VAZ),2107,2006,Tünd qırmızı,Benzin,1.6 L,Mexaniki,120 000 km,5 600 AZN
Mercedes,S 400,2013,Ağ,Benzin,3.0 L,Avtomat,84 000 km,65 000 $
Hyundai,Sonata,2009,Qara,Benzin,3.3 L,Avtomat,226 000 km,19 499 AZN
Mercedes,ML 63 AMG,2009,Qara,Benzin,6.3 L,Avtomat,198 000 km,31 000 AZN
LADA (VAZ),2107,1997,Bənövşəyi,Benzin,1.6 L,Mexaniki,176 000 km,4 200 AZN
Mercedes,C 320,2001,Qara,Benzin,3.2 L,Avtomat,270 000 km,10 000 AZN
Mercedes,C 180,1998,Qara,Benzin,1.8 L,Avtomat,278 700 km,9 700 AZN
Nissan,Teana,2008,Ağ,Benzin,2.5 L,Avtomat,168 000 km,18 500 AZN
Changan,CS 35,2015,Yaş Asfalt,Benzin,1.6 L,Avtomat,141 000 km,17 500 AZN
Opel,Zafira,1999,Gümüşü,Benzin,1.8 L,Avtomat,245 000 km,10 300 AZN
Mercedes,C 220,1999,Yaşıl,Dizel,2.2 L,Avtomat,276 000 km,13 300 AZN
Kia,Cerato,2012,Ağ,Benzin,1.6 L,Avtomat,51 209 km,17 500 AZN
LADA (VAZ),Niva,2015,Ağ,Benzin,1.7 L,Mexaniki,92 710 km,13 500 AZN
Mercedes,190,1992,Gümüşü,Benzin,1.8 L,Mexaniki,370 000 km,6 500 AZN
Hyundai,Sonata,2008,Ağ,Benzin,2.0 L,Avtomat,147 000 km,19 000 AZN
LADA (VAZ),2106,2003,Ağ,Benzin,1.6 L,Mexaniki,45 720 km,5 300 AZN
Mitsubishi,Pajero io,1999,Ağ,Benzin,1.8 L,Avtomat,386 000 km,7 900 AZN
Mercedes,C 200,1998,Yaşıl,Benzin,2.0 L,Avtomat,174 000 km,11 500 AZN
LADA (VAZ),21099,2004,Gümüşü,Benzin,1.5 L,Mexaniki,150 000 km,6 000 AZN
Toyota,Prado,2010,Qara,Benzin,2.7 L,Avtomat,165 000 km,24 000 $
Hyundai,Sonata,2003,Yaşıl,Benzin,2.0 L,Avtomat,285 000 km,8 400 AZN
Toyota,Camry,2013,Qara,Benzin,2.5 L,Avtomat,193 200 km,22 000 $
Ford,Cargo,2008,Ağ,Dizel,12 L,Mexaniki,333 000 km,33 000 AZN
Hyundai,Elantra,2013,Yaş Asfalt,Benzin,1.8 L,Avtomat,101 212 km,19 500 AZN
Mercedes,G 500,2003,Qara,Benzin,5.0 L,Avtomat,165 000 km,38 000 $
BMW,328,2014,Qəhvəyi,Benzin,2.0 L,Avtomat,141 000 km,21 700 $
Ford,Transit,2008,Ağ,Dizel,2.4 L,Mexaniki,150 000 km,15 000 AZN
Hyundai,Sonata,2008,Ağ,Benzin,2.0 L,Avtomat,206 500 km,17 200 AZN
Mercedes,E 200,2020,Qara,Benzin,2.0 L,Avtomat,0 km,113 650 AZN
Mercedes,CLK 320,2002,Qara,Benzin,3.2 L,Avtomat,326 000 km,15 500 AZN
Mercedes,C 240,1999,Gümüşü,Benzin,2.4 L,Avtomat,350 000 km,12 800 AZN
Kia,Rio,2006,Qara,Benzin,1.4 L,Mexaniki,169 780 km,11 450 AZN
BMW,525,2001,Qara,Benzin,2.5 L,Avtomat,310 000 km,13 000 AZN
Kia,Optima,2011,Qara,Benzin,2.0 L,Avtomat,122 000 km,19 800 AZN
BMW,320,1993,Yaşıl,Benzin,1.8 L,Avtomat,123 144 km,6 000 AZN
Hyundai,Elantra,2014,Boz,Benzin,1.8 L,Avtomat,160 000 km,21 000 AZN
Toyota,Land Cruiser,2012,Qara,Benzin,4.0 L,Avtomat,126 000 km,35 700 $
BMW,525,1998,Qara,Benzin,2.5 L,Avtomat,250 000 km,11 500 AZN
Hyundai,Santa Fe,2012,Boz,Benzin,2.4 L,Avtomat,163 000 km,32 500 AZN
Hyundai,H-1,2015,Ağ,Dizel,2.5 L,Mexaniki,333 333 km,28 500 AZN
Hyundai,Sonata,2008,Ağ,Benzin,2.0 L,Avtomat,117 000 km,19 900 AZN
Renault,Megane,2008,Boz,Dizel,1.5 L,Mexaniki,185 000 km,10 500 AZN
Opel,Astra,2009,Qara,Benzin,1.4 L,Mexaniki,148 297 km,12 500 AZN
Mercedes,Vito 116,2013,Qara,Dizel,2.2 L,Avtomat,210 000 km,35 000 AZN
FAW,Bestune T33,2019,Ağ,Benzin,1.6 L,Avtomat,0 km,17 600 $
Opel,Astra,2007,Ağ,Benzin,1.4 L,Mexaniki,201 000 km,12 200 AZN
Hyundai,Sonata,2008,Ağ,Benzin,2.0 L,Avtomat,206 500 km,17 200 AZN
Mercedes,G 63 AMG,2014,Ağ,Benzin,5.5 L,Avtomat,117 000 km,76 500 $
LADA (VAZ),2107,2010,Yaş Asfalt,Benzin,1.6 L,Mexaniki,141 000 km,9 300 AZN
Mitsubishi,L 200,2008,Ağ,Dizel,2.5 L,Mexaniki,230 000 km,30 000 AZN
